Time,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,Node16,Node17,Node18,Node19,Node20,Node21,Node22,Node23,Node24,Node25,Node26,Node27,Node28,Node29,Node30,Node31,Node32,Node33,Node34,Node35,Node36,Node37,Node38,Node39,Node40
0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
0.14,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.5926532096745,199.34824513547917
0.28,199.31079204633778,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.1863434906464,199.11167435723158,198.84848344030942
0.42000000000000004,199.07773961861315,198.81908849240898,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.78106820261786,198.75825602874315,198.64899386308835,198.36223420441118
0.56,198.87548015217314,198.48215315257997,198.38844029427315,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.3768247120129,198.36985536265675,198.32765927104302,198.1908593472926,197.8923666661272
0.7000000000000001,198.69438309141702,198.1702058191057,198.01027794832632,197.9771590695741,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.9736103919605,197.97148118539232,197.95589666069822,197.89566769661417,197.73871971039148,197.4315822317563
0.8400000000000001,198.52909798969972,197.8787994021401,197.646738252987,197.5839962601431,197.57250677910423,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.5714226222774,197.57077212818126,197.5651881010048,197.5401146618939,197.46412972517473,197.2912455472348,196.97795693374263
0.9800000000000001,198.37619862224173,197.60462877200607,197.29711138393037,197.1984585755078,197.1745191176692,197.1705900103038,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17025878945108,197.17006005693943,197.16810270731028,197.1580859287073,197.1234765601939,197.0336353550341,196.84790004998274,196.52993793138182
1.12,198.2333512291751,197.3451531098167,196.96045616197043,196.82106996101862,196.780479132426,196.77154585485684,196.7702174779363,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.77011628662288,196.7700555718348,196.76938078478912,196.76550345679593,196.7504611325532,196.70657927752274,196.60454406883875,196.40818161982034,196.08659952600559
1.2600000000000002,198.09887772076544,197.09839003009364,196.63579270834524,196.45199944749055,196.3910006777734,196.37474181614465,196.37146836484825,196.37102342853848,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.3709925135709,196.37097396459038,196.3707443480853,196.36928047568222,196.3629804085882,196.3425766321751,196.28985082798224,196.17702390504067,195.97172343725344,195.64727892332056
