Time,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8
0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
3.0,191.27114020731042,191.27114020731042,191.27114020731042,191.27114020731042,191.27114020731042,191.27114020731042,191.27114020731042,190.22367703218768
6.0,185.30427642103652,183.01848662262356,183.01848662262356,183.01848662262356,183.01848662262356,183.01848662262356,182.744191846814,181.59329668331304
9.0,180.62688448026216,175.8146297982787,175.2160596383015,175.2160596383015,175.2160596383015,175.14423121910423,174.7271774601401,173.54442059407674
12.0,176.76792362597732,169.50863175721767,167.99604202398555,167.8392969739097,167.82048756790059,167.68098447333307,167.1765744937344,166.0040340610076
15.0,173.48922433515818,163.9481046701099,161.3682194628925,160.901096980326,160.81558755300802,160.6197440193515,160.06344843433726,158.91902969689679
18.0,170.6504422546263,159.0089786868845,155.30019118222867,154.40522385893303,154.19555529641048,153.9448987457089,153.35933280062295,152.25220518074318
21.0,168.15990269096056,154.59369589451833,149.7467894194518,148.34326042155047,147.95484074978364,147.64089089853192,147.03839287483828,145.97320656363536
24.0,165.95339815028987,150.62528049070409,144.66121508616982,142.6983757703718,142.08482516815184,141.6929409734772,141.0777111151611,140.05590144832038
27.0,163.98369416569125,147.04220194916252,139.99916763061958,137.44896006141397,136.57359623133055,136.08655798608189,135.45690946780272,134.47743790110553
30.0,162.21475860647973,143.7945421543545,135.72019331344552,132.571179913371,131.4066767864793,130.80717515484193,130.1576154088715,129.21765593662406
33.0,160.61832440638244,140.841220953017,131.787919271032,128.04059995690108,126.5679059403659,125.84004727139181,125.16298725311584,124.25856353534509
36.0,159.17171348804243,138.14798732233555,128.16985031820425,123.83315868420924,122.0402083805147,121.17031384269346,120.45734988210161,119.58387049284715
39.0,157.8563930392678,135.68594916921103,124.83701275456268,119.92572822601137,117.80619088437052,116.78313178748384,116.02593559188436,115.17860410904214
42.0,156.65698168061937,133.43048199063762,121.76356574412641,116.29641334718752,113.84857521009063,112.6638197383128,111.85470891590785,111.02881390899621
45.0,155.56054456880787,131.36040662446308,118.92642994127975,112.92468913006009,110.15049673673771,108.79798638199404,107.93025321478729,107.12135730715639
48.0,154.55608081365563,129.4573606576934,116.30495161308258,109.79143999071731,106.69570006725817,105.17163308784146,104.23970033050888,103.4437512258275
51.0,153.6341427084826,127.7053111583368,113.88060660564648,106.87893939955703,103.46865860867364,101.77122998790487,100.77068893946779,99.98407364983265
54.0,152.78654755573308,126.09017195645188,111.63674259353724,104.17079512205741,100.45463961292222,98.58376846904439,97.51134113274556,96.73090094348703
57.0,152.0061559190827,124.59949928749975,109.55835582241612,101.65187566200268,97.63973101173909,95.59679420866985,94.45024987104604,93.67326956106348
60.0,151.28669840886567,123.22224690952359,107.63189799590225,99.30822780530418,95.01084212220248,92.79842484835714,91.57647231848914,90.80065358001828
